,Cities,City ID Number,Current Temperature,Current Humidity,Current Cloudiness,Current Wind Speed,Latitude,Longitude
0,lerwick,2644605,59.0,87,20,6.93,60.15,-1.15
1,dwarka,1273294,80.6,88,75,2.73,28.58,77.04
2,kidal,2455290,95.96,32,32,7.43,18.44,1.41
3,banepa,1283679,69.8,100,75,11.41,27.63,85.52
4,cidreira,3466165,67.16,76,0,10.45,-30.17,-50.22
5,san carlos de bariloche,7647007,44.6,52,20,19.46,-41.13,-71.31
6,mataura,6201424,35.66,88,64,2.84,-46.19,168.86
7,cap malheureux,934649,71.6,68,40,10.29,-19.98,57.61
8,yazd,111822,93.2,14,20,2.24,31.89,54.36
9,kodiak,4407665,78.8,78,75,9.17,39.95,-94.76
10,riyadh,108410,100.4,8,24,13.87,24.63,46.72
11,valdosta,4228147,87.8,58,1,4.18,30.83,-83.28
12,teya,3526662,91.4,55,75,5.82,21.05,-89.07
13,upernavik,3418910,41.33,90,92,4.18,72.79,-56.15
14,kamenolomni,553427,82.37,45,20,7.99,47.67,40.21
15,kavaratti,1267390,83.81,93,56,23.09,10.57,72.64
16,santander,1687965,78.8,88,75,13.91,9.42,123.33
17,kilindoni,157429,76.52,100,0,7.99,-7.91,39.67
18,isla vista,5359864,77.04,23,1,3.36,34.41,-119.86
19,padang,1633419,78.23,100,80,3.4,-0.92,100.36
20,yeppoon,2142316,42.8,87,0,9.66,-23.13,150.74
21,lorengau,2092164,79.67,100,20,3.18,-2.02,147.27
22,severo-kurilsk,2121385,51.05,100,56,3.96,50.68,156.12
23,hambantota,1244926,80.03,97,64,17.83,6.12,81.12
24,majene,1636806,81.02,100,8,21.85,-3.54,118.97
25,pasighat,1260206,72.83,96,44,1.5,28.06,95.33
26,port lincoln,2063036,56.45,96,92,24.76,-34.72,135.86
27,marawi,1701054,68.33,95,68,3.4,8.0,124.29
28,ghanzi,933644,67.16,47,0,4.41,-21.7,21.65
29,hamilton,3573197,82.4,78,75,5.82,32.3,-64.78
30,abu kamal,174448,89.57,27,0,7.65,34.45,40.92
31,hereford,2647074,71.6,60,20,10.29,52.06,-2.72
32,thompson,6165406,62.6,100,90,5.3,55.74,-97.86
33,nhulunbuy,2064735,78.23,100,76,21.07,-12.18,136.78
34,itoman,1861280,80.56,83,20,8.05,26.12,127.67
35,auki,2339937,80.75,66,44,7.99,12.18,6.51
36,salamiyah,164947,75.8,57,0,13.58,35.01,37.05
37,santhia,2407262,74.18,99,100,4.07,9.54,-12.74
38,san patricio,3437029,76.97,54,0,7.76,-26.98,-56.83
39,roma,6539761,79.39,58,20,4.7,41.89,12.48
40,kuytun,2021093,48.53,87,0,3.29,54.34,101.51
41,sibu,1735902,73.4,88,75,5.82,2.29,111.83
42,huarmey,3939168,72.02,57,0,4.29,-10.07,-78.15
43,iralaya,3608828,83.9,83,80,11.23,15.0,-83.23
44,srandakan,1626493,63.02,96,0,2.06,-7.94,110.25
45,adre,245669,66.62,99,92,4.41,13.47,22.2
46,atar,2381334,102.98,25,0,6.2,20.52,-13.05
47,gushikawa,1863495,80.62,88,1,3.36,26.35,127.87
48,chenzhou,1815059,72.92,93,0,2.73,25.81,113.03
49,leshukonskoye,535839,51.68,76,0,6.2,64.9,45.76
50,yangliuqing,1787437,82.4,83,92,4.47,39.14,117.0
51,ca mau,1586443,75.8,100,92,12.46,9.18,105.15
52,kaihua,1789001,76.43,88,36,2.17,29.14,118.41
53,ballina,2966778,55.4,76,75,11.41,54.11,-9.15
54,rucheng,1797076,68.87,90,0,2.17,25.55,113.68
55,hamina,659169,66.2,55,0,2.24,60.57,27.2
56,sitka,4267710,73.1,99,92,5.97,37.17,-99.65
57,smithers,6149996,73.4,35,20,5.82,54.78,-127.17
58,yerbogachen,2012956,51.05,69,20,3.96,61.28,108.01
59,port elizabeth,4501427,88.11,66,20,6.93,39.31,-74.98
60,amontada,3407703,88.76,49,8,10.78,-3.36,-39.83
61,tommot,2015179,49.52,89,44,2.28,58.97,126.27
62,abnub,362973,91.4,36,0,16.11,27.27,31.15
63,guaxupe,3461763,75.2,53,20,3.36,-21.31,-46.71
64,bogorodskoye,2126638,56.9,95,32,2.39,52.37,140.44
65,chapais,5919850,68.0,68,90,5.82,49.78,-74.86
66,ibiruba,3461559,68.33,74,0,9.78,-28.63,-53.09
67,antalaha,1071296,70.31,87,0,8.55,-14.9,50.28
68,bismarck,5688025,86.13,39,1,8.05,46.81,-100.78
69,mar del plata,3863379,47.63,56,0,6.08,-46.43,-67.52
70,ushumun,2014038,62.84,89,92,6.2,52.78,126.54
71,ust-ishim,1488206,64.37,90,32,7.65,57.69,71.17
72,nanortalik,3421765,47.54,87,24,7.76,60.14,-45.24
73,mana,789988,72.39,69,0,2.24,43.52,20.24
74,canora,5915098,82.4,39,1,10.29,51.64,-102.43
75,artyom,2027456,64.4,93,100,2.24,43.36,132.19
76,port macquarie,2152659,32.0,100,0,1.12,-31.43,152.91
77,hobart,2163355,50.0,71,75,14.99,-42.88,147.33
78,nakhon thai,1608524,71.93,95,56,1.61,17.1,100.84
79,bonavista,5905393,67.61,80,32,11.12,48.65,-53.11
80,kohlu,1173464,84.62,52,48,6.42,29.9,69.25
81,grindavik,3416888,51.8,66,75,28.86,63.84,-22.43
82,namibe,3347019,65.0,100,0,5.64,-15.19,12.15
83,naze,2337542,75.62,90,80,6.42,5.43,7.07
84,ribeira grande,3372707,77.0,65,75,3.36,38.52,-28.7
85,mayor pablo lagerenza,3867427,83.0,58,80,21.74,-19.93,-60.77
86,mount kisco,5127744,87.42,58,40,6.93,41.2,-73.73
87,kruisfontein,986717,55.82,82,48,20.4,-34.0,24.73
88,nakasongola,228418,66.8,88,0,4.18,1.32,32.46
89,baruun-urt,2032614,53.48,86,0,2.62,46.68,113.28
90,adrar,2508813,104.0,15,75,13.87,27.87,-0.29
91,nouadhibou,2377457,71.6,83,40,11.41,20.93,-17.03
92,puerto leguizamo,3671437,76.7,91,80,3.18,-0.19,-74.78
93,labuhan,1641899,70.58,91,12,2.95,-2.54,115.51
94,cartagena,2520058,86.54,78,0,8.05,37.63,-1.0
95,provideniya,4031574,50.6,100,76,9.55,64.42,-173.23
96,maniitsoq,3421982,49.7,92,92,16.82,65.42,-52.9
97,sao filipe,3374210,77.51,98,0,8.21,14.9,-24.5
98,kantang,1153072,83.45,89,64,11.34,7.42,99.52
99,kachug,2023333,45.56,86,0,1.61,53.96,105.89
100,tondano,1623424,77.0,78,20,6.93,1.3,124.91
101,umba,479071,59.96,87,24,10.0,66.69,34.34
102,muros,3115824,66.2,82,40,8.05,42.77,-9.06
103,klaksvik,2618795,50.0,93,76,12.75,62.23,-6.59
